timestamp,phase,entropy_total,entropy_ang,entropy_lin,est_error_ang,est_error_lin
2025-04-24 15:35:08,Phase 0,0.27315,0.27315,0.27315,0.00273,0
2025-04-24 15:35:09,Phase 0,0.27315,0.27315,0.27315,-0.00992,-0.00244
2025-04-24 15:35:10,Phase 0,0,0,0,-0.02042,0.00014
2025-04-24 15:35:11,Phase 0,0,0,0,0,0
2025-04-24 15:35:12,Phase 0,0,0,0,-0.01633,0
2025-04-24 15:35:13,Phase 0,0,0,0,0,0
2025-04-24 15:35:14,Phase 0,0,0,0,0,0
2025-04-24 15:35:15,Phase 0,0,0,0,0,0
2025-04-24 15:35:16,Phase 0,0,0,0,0,0
2025-04-24 15:35:17,Phase 0,0,0,0,0,0
2025-04-24 15:35:18,Phase 0,0,0,0,0.00557,-0.0005
2025-04-24 15:35:19,Phase 0,0,0,0,-0.00031,0.00021
2025-04-24 15:35:20,Phase 0,0,0,0,0,0
2025-04-24 15:35:21,Phase 0,0,0,0,0,0
2025-04-24 15:35:22,Phase 0,0,0,0,0,0
2025-04-24 15:35:23,Phase 0,0,0,0,-0.06181,0.00866
2025-04-24 15:35:24,Phase 0,0,0,0,0,-0.0006
2025-04-24 15:35:25,Phase 0,0.17192,0.20196,0.10182,-0.04857,-0.02817
2025-04-24 15:35:26,Phase 0,0.17192,0.20196,0.10182,0.015,0.00074
2025-04-24 15:35:27,Phase 0,0.17956,0.21091,0.1064,0,0
2025-04-24 15:35:28,Phase 0,0.17956,0.21091,0.1064,0,0
2025-04-24 15:35:29,Phase 0,0.17956,0.21091,0.1064,0.00485,0.00169
2025-04-24 15:35:30,Phase 0,0,0,0,-0.00659,0
2025-04-24 15:35:31,Phase 0,0,0,0,0,0
2025-04-24 15:35:32,Phase 0,0.07127,0.10182,0,0,0
2025-04-24 15:35:33,Phase 0,0.07127,0.10182,0,0,0
2025-04-24 15:35:34,Phase 0,0.07127,0.10182,0,0.01305,-0.01488
2025-04-24 15:35:35,Phase 0,0.1064,0.1064,0.1064,0,0
2025-04-24 15:35:36,Phase 0,0.1064,0.1064,0.1064,0.01228,0.02165
2025-04-24 15:35:37,Phase 0,0.32915,0.27395,0.45795,-0.02125,0.02331
2025-04-24 15:35:38,Phase 0,0.32915,0.27395,0.45795,-0.00283,-0.00016
2025-04-24 15:35:39,Phase 0,0.11539,0.16485,0,-0.02954,0.01578
2025-04-24 15:35:40,Phase 0,0.11539,0.16485,0,0.00062,-0.00233
2025-04-24 15:35:41,Phase 0,0.11539,0.16485,0,-0.00773,0.00311
2025-04-24 15:35:42,Phase 0,0.03192,0,0.1064,0,0
2025-04-24 15:35:43,Phase 0,0.03192,0,0.1064,0,0
2025-04-24 15:35:44,Phase 0,0.03192,0,0.1064,0,0
2025-04-24 15:35:45,Phase 0,0.07127,0.10182,0,-0.04111,0.02751
2025-04-24 15:35:46,Phase 0,0.07127,0.10182,0,-0.06485,-0.39653
2025-04-24 15:35:47,Phase 0,0.35965,0.35965,0.35965,0.00873,0
2025-04-24 15:35:48,Phase 0,0.35965,0.35965,0.35965,-0.11055,0.02314
2025-04-24 15:35:49,Phase 0,0.35965,0.35965,0.35965,0,0
2025-04-24 15:35:50,Phase 0,0.07448,0.1064,0,0.00048,-0.00041
2025-04-24 15:35:51,Phase 0,0.07448,0.1064,0,-0.02145,0.02829
2025-04-24 15:35:52,Phase 0,0.45403,0.45403,0.45403,0.06706,-0.03864
2025-04-24 15:35:53,Phase 0,0.45403,0.45403,0.45403,-0.00989,0.00449
2025-04-24 15:35:54,Phase 0,0.45403,0.45403,0.45403,-0.00946,0.00932
2025-04-24 15:35:55,Phase 0,0.22034,0.20196,0.26321,0.12305,0.04395
2025-04-24 15:35:56,Phase 0,0.22034,0.20196,0.26321,-0.01468,-0.02284
2025-04-24 15:35:57,Phase 0,0.18566,0.21963,0.1064,-0.02056,-0.00816
2025-04-24 15:35:58,Phase 0,0.18566,0.21963,0.1064,-0.0214,0
2025-04-24 15:35:59,Phase 0,0.18566,0.21963,0.1064,-0.02798,0
2025-04-24 15:36:00,Phase 0,0,0,0,0.03727,-0.01164
2025-04-24 15:36:01,Phase 0,0,0,0,-0.00384,0.00482
2025-04-24 15:36:02,Phase 0,0.17192,0.20196,0.10182,0.06902,-0.00146
2025-04-24 15:36:03,Phase 0,0.17192,0.20196,0.10182,0.00302,0
2025-04-24 15:36:04,Phase 0,0.19983,0.1064,0.10182,-0.01203,0.00995
2025-04-24 15:36:05,Phase 0,0.19983,0.1064,0.41782,-0.01787,0.03093
2025-04-24 15:36:06,Phase 0,0.19983,0.1064,0.41782,0.00682,0.01217
2025-04-24 15:36:07,Phase 0,0.46424,0.50907,0.35965,0,0.00024
2025-04-24 15:36:08,Phase 0,0.46424,0.50907,0.35965,0.00124,0.00142
2025-04-24 15:36:09,Phase 0,0.03055,0,0.10182,0,0
2025-04-24 15:36:10,Phase 0,0.03055,0,0.10182,0.01002,0.01013
2025-04-24 15:36:11,Phase 0,0.03055,0,0.10182,0.00032,-0.0015
2025-04-24 15:36:12,Phase 0,0,0,0,0.00014,-0.00534
2025-04-24 15:36:13,Phase 0,0,0,0,0,0
2025-04-24 15:36:14,Phase 0,0,0,0,0.00014,0
2025-04-24 15:36:15,Phase 0,0,0,0,0.0084,-0.00131
2025-04-24 15:36:16,Phase 0,0,0,0,0.00072,0
2025-04-24 15:36:17,Phase 0,0.17192,0.20196,0.10182,0.02285,0.00439
2025-04-24 15:36:18,Phase 0,0.17192,0.20196,0.10182,0.00055,-0.00032
2025-04-24 15:36:19,Phase 0,0.17192,0.20196,0.10182,-0.00612,-0.00341
2025-04-24 15:36:20,Phase 0,0.07448,0.1064,0,-0.00281,0.00015
2025-04-24 15:36:21,Phase 0,0.07448,0.1064,0,-0.00215,0.00215
2025-04-24 15:36:22,Phase 0,0.07127,0.10182,0,-0.03512,0.01034
2025-04-24 15:36:23,Phase 0,0.07127,0.10182,0,-0.00299,0.00094
2025-04-24 15:36:24,Phase 0,0.07127,0.10182,0,0.0022,-0.00142
2025-04-24 15:36:25,Phase 0,0,0,0,0,0
2025-04-24 15:36:26,Phase 0,0,0,0,-0.01561,0.00183
2025-04-24 15:36:27,Phase 0,0,0,0,0.03833,-0.01124
2025-04-24 15:36:28,Phase 0,0,0,0,0.06051,-0.02059
2025-04-24 15:36:29,Phase 0,0,0,0,-0.04919,-0.03155
2025-04-24 15:36:30,Phase 0,0.24483,0.26321,0.20196,-0.02833,-0.00198
2025-04-24 15:36:31,Phase 0,0.24483,0.26321,0.20196,-0.00195,0.0003
2025-04-24 15:36:32,Phase 0,0.21597,0.30853,0,0.00328,0
2025-04-24 15:36:33,Phase 0,0.21597,0.30853,0,0.00067,0.00699
2025-04-24 15:36:34,Phase 0,0.21597,0.30853,0,0.03669,-0.00775
2025-04-24 15:36:35,Phase 0,0,0,0,-0.00021,0.00015
2025-04-24 15:36:36,Phase 0,0,0,0,0.0539,-0.01124
